cell_i,cell_j,stack_count,thickness_m,cell_area_m2,volume_proxy_m3,status,reason,distance_m,receive_dot,triangle_index,src_x,src_y,src_z,mapped_x,mapped_y,mapped_z
-27,-40,1,0.003740,0.000174,0.000001,accepted,accepted,0.200067,0.589645,4777,15.193759,16.581053,0.611989,15.388843,16.596214,0.599549
-26,-14,1,0.003740,0.000174,0.000001,accepted,accepted,0.005835,0.371385,8435,15.193759,16.631088,1.661107,15.195401,16.631336,1.661886
-24,-40,1,0.003740,0.000174,0.000001,accepted,accepted,0.188460,0.605480,4777,15.193759,16.731159,0.611989,15.377294,16.745424,0.600285
-23,-34,1,0.003740,0.000174,0.000001,accepted,accepted,0.199029,0.640743,4777,15.193759,16.781195,0.839562,15.387810,16.796276,0.827188
-22,-40,1,0.003740,0.000174,0.000001,accepted,accepted,0.180721,0.615842,4777,15.193759,16.831232,0.611989,15.369594,16.844898,0.600776
-20,-40,1,0.003740,0.000174,0.000001,accepted,accepted,0.172982,0.625970,4777,15.193759,16.931303,0.611989,15.361894,16.944370,0.601267
-20,-36,1,0.003740,0.000174,0.000001,accepted,accepted,0.182208,0.646664,4777,15.193759,16.931303,0.757407,15.371074,16.945084,0.746100
-19,-29,1,0.003740,0.000174,0.000001,accepted,accepted,0.196583,0.694478,4777,15.193759,16.981339,1.044948,15.385376,16.996231,1.032729
-18,-40,1,0.003740,0.000174,0.000001,accepted,accepted,0.165244,0.635794,4777,15.193759,17.031374,0.611989,15.354195,17.043842,0.601758
-18,-37,1,0.003740,0.000174,0.000001,accepted,accepted,0.171863,0.651338,4777,15.193759,17.031374,0.716330,15.360781,17.044355,0.705679
-17,-40,3,0.011220,0.000174,0.000002,accepted,accepted,0.175539,0.640536,4777,15.179523,17.081409,0.611989,15.350202,17.094675,0.601105
-17,-37,1,0.003740,0.000174,0.000001,accepted,accepted,0.167995,0.656471,4777,15.193759,17.081409,0.716330,15.356932,17.094091,0.705925
-17,-36,1,0.003740,0.000174,0.000001,accepted,accepted,0.170601,0.662787,4777,15.193759,17.081409,0.757407,15.359525,17.094294,0.746837
-17,-33,1,0.003740,0.000174,0.000001,accepted,accepted,0.178419,0.681862,4777,15.193759,17.081409,0.880639,15.367304,17.094898,0.869572
-16,-40,1,0.003740,0.000174,0.000001,accepted,accepted,0.157505,0.645238,4777,15.193759,17.131447,0.611989,15.346495,17.143318,0.602249
-16,-36,1,0.003740,0.000174,0.000001,accepted,accepted,0.166732,0.667960,4777,15.193759,17.131447,0.757407,15.355675,17.144032,0.747082
-15,-40,1,0.003740,0.000174,0.000001,accepted,accepted,0.153636,0.649792,4777,15.193759,17.181482,0.611989,15.342645,17.193054,0.602495
-15,-38,1,0.003740,0.000174,0.000001,accepted,accepted,0.157650,0.659833,4777,15.193759,17.181482,0.675253,15.346639,17.193365,0.665504
-15,-34,1,0.003740,0.000174,0.000001,accepted,accepted,0.168074,0.686318,4777,15.193759,17.181482,0.839562,15.357011,17.194170,0.829152
-15,-31,1,0.003740,0.000174,0.000001,accepted,accepted,0.175894,0.706416,4777,15.193759,17.181482,0.962793,15.364791,17.194775,0.951887
-15,-28,1,0.003740,0.000174,0.000001,accepted,accepted,0.175263,0.362050,8435,15.193759,17.181482,1.086025,15.347075,17.204721,1.158724
-14,-40,3,0.011220,0.000174,0.000002,accepted,accepted,0.163932,0.654170,4777,15.179523,17.231518,0.611989,15.338653,17.243885,0.601841
-13,-40,4,0.014960,0.000174,0.000003,accepted,accepted,0.167144,0.658429,4777,15.172405,17.281553,0.611989,15.334731,17.294170,0.601638
-13,-39,1,0.003740,0.000174,0.000001,accepted,accepted,0.147305,0.662165,4777,15.193759,17.281553,0.634175,15.336346,17.292635,0.625083
-13,-36,1,0.003740,0.000174,0.000001,accepted,accepted,0.155123,0.682709,4777,15.193759,17.281553,0.757407,15.344125,17.293240,0.747819
-13,-35,1,0.003740,0.000174,0.000001,accepted,accepted,0.157730,0.689640,4777,15.193759,17.281553,0.798484,15.346718,17.293442,0.788731
-13,-30,1,0.003740,0.000174,0.000001,accepted,accepted,0.170761,0.724679,4777,15.193759,17.281553,1.003871,15.359684,17.294449,0.993290
-12,-40,6,0.022440,0.000174,0.000004,accepted,accepted,0.177439,0.662503,4777,15.158170,17.331589,0.611989,15.330739,17.345001,0.600984
-12,-38,2,0.007480,0.000174,0.000001,accepted,accepted,0.153124,0.673283,4777,15.186641,17.331589,0.675253,15.335017,17.343121,0.665791
-12,-25,1,0.003740,0.000174,0.000001,accepted,accepted,0.102583,0.386680,8435,15.193759,17.331589,1.209257,15.282011,17.344965,1.251104
-11,-40,4,0.014960,0.000174,0.000003,accepted,accepted,0.159405,0.666545,4777,15.172405,17.381624,0.611989,15.327031,17.393642,0.602129
-11,-39,3,0.011220,0.000174,0.000002,accepted,accepted,0.153732,0.670369,4777,15.179523,17.381624,0.634175,15.328504,17.393204,0.624675
-11,-36,1,0.003740,0.000174,0.000001,accepted,accepted,0.147385,0.691778,4777,15.193759,17.381624,0.757407,15.336425,17.392712,0.748310
-11,-33,1,0.003740,0.000174,0.000001,accepted,accepted,0.155204,0.713531,4777,15.193759,17.381624,0.880639,15.344205,17.393316,0.871045
-10,-40,7,0.026180,0.000174,0.000005,accepted,accepted,0.176782,0.670243,4777,15.151052,17.431660,0.611989,15.322968,17.445021,0.601026
-10,-38,2,0.007480,0.000174,0.000001,accepted,accepted,0.145386,0.681471,4777,15.186641,17.431660,0.675253,15.327318,17.442593,0.666282
-10,-33,2,0.007480,0.000174,0.000001,accepted,accepted,0.158417,0.718183,4777,15.186641,17.431660,0.880639,15.340283,17.443602,0.870842
-10,-32,1,0.003740,0.000174,0.000001,accepted,accepted,0.153941,0.725677,4777,15.193759,17.431660,0.921716,15.342948,17.443254,0.912203
-10,-31,1,0.003740,0.000174,0.000001,accepted,accepted,0.156547,0.733163,4777,15.193759,17.431660,0.962793,15.345541,17.443457,0.953115
-10,-29,2,0.007480,0.000174,0.000001,accepted,accepted,0.165123,0.372346,8435,15.186641,17.431660,1.044948,15.330879,17.453524,1.113343
-10,-20,1,0.003740,0.000174,0.000001,accepted,accepted,0.001819,0.422550,8435,15.193759,17.431660,1.414643,15.191807,17.431362,1.413718
-9,-40,5,0.018700,0.000174,0.000003,accepted,accepted,0.158749,0.673949,4777,15.165287,17.481697,0.611989,15.319261,17.493664,0.602170
-9,-39,5,0.018700,0.000174,0.000003,accepted,accepted,0.160156,0.677868,4777,15.165287,17.481697,0.634175,15.320661,17.493773,0.624268
-9,-38,2,0.007480,0.000174,0.000001,accepted,accepted,0.141517,0.685294,4777,15.186641,17.481697,0.675253,15.323468,17.492332,0.666528
-9,-37,1,0.003740,0.000174,0.000001,accepted,accepted,0.137040,0.692699,4777,15.193759,17.481697,0.716330,15.326132,17.491985,0.707889
-9,-36,1,0.003740,0.000174,0.000001,accepted,accepted,0.139647,0.700123,4777,15.193759,17.481697,0.757407,15.328726,17.492188,0.748801
-9,-35,1,0.003740,0.000174,0.000001,accepted,accepted,0.142253,0.707600,4777,15.193759,17.481697,0.798484,15.331319,17.492388,0.789713
-9,-34,1,0.003740,0.000174,0.000001,accepted,accepted,0.144859,0.715125,4777,15.193759,17.481697,0.839562,15.333912,17.492590,0.830625
-9,-26,2,0.007480,0.000174,0.000001,accepted,accepted,0.106023,0.391121,8435,15.186641,17.481697,1.168180,15.277972,17.495541,1.211487
-8,-40,8,0.029920,0.000174,0.000005,accepted,accepted,0.176127,0.677258,4777,15.143933,17.531733,0.611989,15.315197,17.545044,0.601068
-8,-38,1,0.003740,0.000174,0.000001,accepted,accepted,0.130564,0.688964,4777,15.193759,17.531733,0.675253,15.319689,17.541521,0.667223
-8,-36,2,0.007480,0.000174,0.000001,accepted,accepted,0.142860,0.703950,4777,15.186641,17.531733,0.757407,15.324804,17.542471,0.748597
-8,-34,1,0.003740,0.000174,0.000001,accepted,accepted,0.140990,0.719247,4777,15.193759,17.531733,0.839562,15.330062,17.542326,0.830870
-8,-32,1,0.003740,0.000174,0.000001,accepted,accepted,0.146202,0.734683,4777,15.193759,17.531733,0.921716,15.335248,17.542728,0.912694
-8,-29,1,0.003740,0.000174,0.000001,accepted,accepted,0.145171,0.376848,8435,15.193759,17.531733,1.044948,15.320136,17.550888,1.104874
-7,-40,4,0.014960,0.000174,0.000003,accepted,accepted,0.143928,0.680682,4777,15.172405,17.581768,0.611989,15.311632,17.592588,0.603111
-7,-38,3,0.011220,0.000174,0.000002,accepted,accepted,0.140860,0.692293,4777,15.179523,17.581768,0.675253,15.315697,17.592352,0.666569
-7,-37,1,0.003740,0.000174,0.000001,accepted,accepted,0.129302,0.699983,4777,15.193759,17.581768,0.716330,15.318433,17.591457,0.708380
-7,-34,2,0.007480,0.000174,0.000001,accepted,accepted,0.144203,0.723095,4777,15.186641,17.581768,0.839562,15.326140,17.592609,0.830666
-7,-28,1,0.003740,0.000174,0.000001,accepted,accepted,0.120945,0.384632,8435,15.193759,17.581768,1.086025,15.298449,17.597637,1.135667
-7,-26,1,0.003740,0.000174,0.000001,accepted,accepted,0.086071,0.396023,8435,15.193759,17.581768,1.168180,15.267229,17.592905,1.203018
-7,-25,2,0.007480,0.000174,0.000001,accepted,accepted,0.075006,0.402476,8435,15.186641,17.581768,1.209257,15.250206,17.591402,1.239398
-7,-23,1,0.003740,0.000174,0.000001,accepted,accepted,0.033761,0.414168,8435,15.193759,17.581768,1.291411,15.220401,17.585806,1.304044
-7,-22,1,0.003740,0.000174,0.000001,accepted,accepted,0.016324,0.420512,8435,15.193759,17.581768,1.332489,15.204791,17.583439,1.337720
-7,-21,1,0.003740,0.000174,0.000001,accepted,accepted,0.001113,0.427009,8435,15.193759,17.581768,1.373566,15.189181,17.581074,1.371395
-7,-19,1,0.003740,0.000174,0.000001,accepted,accepted,0.035987,0.440474,8435,15.193759,17.581768,1.455720,15.157962,17.576342,1.438746
-6,-40,10,0.037400,0.000174,0.000007,accepted,accepted,0.182552,0.683415,4777,15.129698,17.631804,0.611989,15.307355,17.645611,0.600660
-6,-39,1,0.003740,0.000174,0.000001,accepted,accepted,0.120220,0.687964,4777,15.193759,17.631804,0.634175,15.309397,17.640791,0.626802
-6,-38,4,0.014960,0.000174,0.000003,accepted,accepted,0.144073,0.695442,4777,15.172405,17.631804,0.675253,15.311776,17.642635,0.666366
-6,-37,1,0.003740,0.000174,0.000001,accepted,accepted,0.125433,0.703296,4777,15.193759,17.631804,0.716330,15.314583,17.641193,0.708625
-6,-35,1,0.003740,0.000174,0.000001,accepted,accepted,0.130645,0.718900,4777,15.193759,17.631804,0.798484,15.319769,17.641598,0.790449
-6,-34,1,0.003740,0.000174,0.000001,accepted,accepted,0.133251,0.726791,4777,15.193759,17.631804,0.839562,15.322362,17.641798,0.831361
-6,-33,1,0.003740,0.000174,0.000001,accepted,accepted,0.135857,0.734734,4777,15.193759,17.631804,0.880639,15.324955,17.642000,0.872273
-6,-28,1,0.003740,0.000174,0.000001,accepted,accepted,0.114155,0.386881,8435,15.193759,17.631804,1.086025,15.292370,17.646751,1.132785
-6,-25,1,0.003740,0.000174,0.000001,accepted,accepted,0.061844,0.404528,8435,15.193759,17.631804,1.209257,15.245542,17.639652,1.233811
-6,-17,1,0.003740,0.000174,0.000001,accepted,accepted,0.077650,0.458483,8435,15.193759,17.631804,1.537875,15.120665,17.620724,1.503215
-6,-15,1,0.003740,0.000174,0.000001,accepted,accepted,0.112524,0.473688,8435,15.193759,17.631804,1.620029,15.089446,17.615990,1.570566
-6,-9,1,0.003740,0.000174,0.000001,accepted,accepted,0.217145,0.523697,8435,15.193759,17.631804,1.866493,14.995789,17.601793,1.772619
-5,-40,13,0.048620,0.000174,0.000008,accepted,accepted,0.199930,0.686052,4777,15.108344,17.681839,0.611989,15.303291,17.696991,0.599557
-5,-39,2,0.007480,0.000174,0.000001,accepted,accepted,0.123433,0.690793,4777,15.186641,17.681839,0.634175,15.305475,17.691074,0.626598
-5,-38,1,0.003740,0.000174,0.000001,accepted,accepted,0.118957,0.698574,4777,15.193759,17.681839,0.675253,15.308140,17.690729,0.667959
-5,-37,1,0.003740,0.000174,0.000001,accepted,accepted,0.121563,0.706375,4777,15.193759,17.681839,0.716330,15.310733,17.690931,0.708871
-5,-36,1,0.003740,0.000174,0.000001,accepted,accepted,0.124169,0.714248,4777,15.193759,17.681839,0.757407,15.313326,17.691132,0.749783
-5,-35,1,0.003740,0.000174,0.000001,accepted,accepted,0.126775,0.722187,4777,15.193759,17.681839,0.798484,15.315919,17.691334,0.790695
-5,-33,1,0.003740,0.000174,0.000001,accepted,accepted,0.131989,0.738242,4777,15.193759,17.681839,0.880639,15.321106,17.691736,0.872518
-5,-32,2,0.007480,0.000174,0.000001,accepted,accepted,0.141677,0.746294,4777,15.186641,17.681839,0.921716,15.323627,17.692486,0.912981
-5,-31,1,0.003740,0.000174,0.000001,accepted,accepted,0.137201,0.754491,4777,15.193759,17.681839,0.962793,15.326292,17.692141,0.954342
-5,-30,1,0.003740,0.000174,0.000001,accepted,accepted,0.139807,0.762670,4777,15.193759,17.681839,1.003871,15.328885,17.692341,0.995254
-5,-28,2,0.007480,0.000174,0.000001,accepted,accepted,0.113737,0.389490,8435,15.186641,17.681839,1.086025,15.284878,17.696730,1.132607
-5,-26,1,0.003740,0.000174,0.000001,accepted,accepted,0.072491,0.400807,8435,15.193759,17.681839,1.168180,15.255073,17.691132,1.197253
-5,-22,1,0.003740,0.000174,0.000001,accepted,accepted,0.002744,0.426354,8435,15.193759,17.681839,1.332489,15.192635,17.681667,1.331956
-5,-10,1,0.003740,0.000174,0.000001,accepted,accepted,0.206498,0.520275,8435,15.193759,17.681839,1.825416,15.005320,17.653275,1.736062
-4,-40,7,0.026180,0.000174,0.000005,accepted,accepted,0.153567,0.688966,4777,15.151052,17.731874,0.611989,15.299869,17.743441,0.602499
-4,-39,5,0.018700,0.000174,0.000003,accepted,accepted,0.140811,0.693270,4777,15.165287,17.731874,0.634175,15.301412,17.742455,0.625495
-4,-38,1,0.003740,0.000174,0.000001,accepted,accepted,0.115088,0.701317,4777,15.193759,17.731874,0.675253,15.304290,17.740465,0.668205
-4,-36,1,0.003740,0.000174,0.000001,accepted,accepted,0.120300,0.717178,4777,15.193759,17.731874,0.757407,15.309476,17.740868,0.750028
-4,-33,2,0.007480,0.000174,0.000001,accepted,accepted,0.135201,0.741419,4777,15.186641,17.731874,0.880639,15.317184,17.742020,0.872315
-4,-32,2,0.007480,0.000174,0.000001,accepted,accepted,0.137808,0.749630,4777,15.186641,17.731874,0.921716,15.319777,17.742222,0.913226
-4,-20,1,0.003740,0.000174,0.000001,accepted,accepted,0.038919,0.443039,8435,15.193759,17.731874,1.414643,15.155337,17.726049,1.396424
-4,-7,1,0.003740,0.000174,0.000001,accepted,accepted,0.265598,0.554174,8435,15.193759,17.731874,1.948647,14.952413,17.695290,1.834206
-3,-40,12,0.044880,0.000174,0.000008,accepted,accepted,0.185109,0.691010,4777,15.115462,17.781912,0.611989,15.295663,17.795918,0.600498
-3,-39,2,0.007480,0.000174,0.000001,accepted,accepted,0.115695,0.695856,4777,15.186641,17.781912,0.634175,15.297775,17.790550,0.627089
-3,-37,1,0.003740,0.000174,0.000001,accepted,accepted,0.113824,0.711793,4777,15.193759,17.781912,0.716330,15.303033,17.790405,0.709362
-3,-36,1,0.003740,0.000174,0.000001,accepted,accepted,0.116431,0.719848,4777,15.193759,17.781912,0.757407,15.305626,17.790607,0.750274
-3,-35,1,0.003740,0.000174,0.000001,accepted,accepted,0.119037,0.727974,4777,15.193759,17.781912,0.798484,15.308219,17.790808,0.791186
-3,-33,1,0.003740,0.000174,0.000001,accepted,accepted,0.124250,0.744422,4777,15.193759,17.781912,0.880639,15.313406,17.791210,0.873009
-3,-28,2,0.007480,0.000174,0.000001,accepted,accepted,0.100157,0.393171,8435,15.186641,17.781912,1.086025,15.272721,17.794960,1.126843
-3,-25,1,0.003740,0.000174,0.000001,accepted,accepted,0.041475,0.411233,8435,15.193759,17.781912,1.209257,15.227306,17.786997,1.225165
-3,-24,1,0.003740,0.000174,0.000001,accepted,accepted,0.024038,0.417764,8435,15.193759,17.781912,1.250334,15.211697,17.784630,1.258840
-2,-40,9,0.033660,0.000174,0.000006,accepted,accepted,0.159993,0.693298,4777,15.136816,17.831947,0.611989,15.292027,17.844011,0.602091
-2,-39,1,0.003740,0.000174,0.000001,accepted,accepted,0.104743,0.698088,4777,15.193759,17.831947,0.634175,15.293997,17.839739,0.627784
-2,-38,1,0.003740,0.000174,0.000001,accepted,accepted,0.107349,0.706059,4777,15.193759,17.831947,0.675253,15.296590,17.839939,0.668696
-2,-37,1,0.003740,0.000174,0.000001,accepted,accepted,0.109955,0.714113,4777,15.193759,17.831947,0.716330,15.299183,17.840141,0.709607
-2,-36,1,0.003740,0.000174,0.000001,accepted,accepted,0.112561,0.722246,4777,15.193759,17.831947,0.757407,15.301776,17.840343,0.750519
-2,-35,1,0.003740,0.000174,0.000001,accepted,accepted,0.115168,0.730454,4777,15.193759,17.831947,0.798484,15.304370,17.840544,0.791431
-2,-34,1,0.003740,0.000174,0.000001,accepted,accepted,0.117774,0.738732,4777,15.193759,17.831947,0.839562,15.306963,17.840746,0.832343
-2,-33,1,0.003740,0.000174,0.000001,accepted,accepted,0.120381,0.747072,4777,15.193759,17.831947,0.880639,15.309556,17.840948,0.873255
-2,-29,1,0.003740,0.000174,0.000001,accepted,accepted,0.104433,0.388256,8435,15.193759,17.831947,1.044948,15.283667,17.845575,1.087580
-2,-22,1,0.003740,0.000174,0.000001,accepted,accepted,0.017626,0.433519,8435,15.193759,17.831947,1.332489,15.174399,17.829012,1.323309
-2,-20,1,0.003740,0.000174,0.000001,accepted,accepted,0.052500,0.448117,8435,15.193759,17.831947,1.414643,15.143180,17.824280,1.390660
-1,-40,25,0.093500,0.000174,0.000016,accepted,accepted,0.269438,0.694050,4777,15.022930,17.881983,0.611989,15.287037,17.902510,0.595147
-1,-38,1,0.003740,0.000174,0.000001,accepted,accepted,0.103480,0.708041,4777,15.193759,17.881983,0.675253,15.292740,17.889675,0.668941
-1,-36,1,0.003740,0.000174,0.000001,accepted,accepted,0.108693,0.724366,4777,15.193759,17.881983,0.757407,15.297927,17.890079,0.750765
-1,-35,3,0.011220,0.000174,0.000002,accepted,accepted,0.125463,0.732508,4777,15.179523,17.881983,0.798484,15.300377,17.891376,0.790778
-1,-33,1,0.003740,0.000174,0.000001,accepted,accepted,0.116511,0.749415,4777,15.193759,17.881983,0.880639,15.305706,17.890684,0.873500
-1,-29,1,0.003740,0.000174,0.000001,accepted,accepted,0.097642,0.389561,8435,15.193759,17.881983,1.044948,15.277588,17.894690,1.084698
-1,-24,1,0.003740,0.000174,0.000001,accepted,accepted,0.010458,0.421410,8435,15.193759,17.881983,1.250334,15.199540,17.882858,1.253076
-1,-9,1,0.003740,0.000174,0.000001,accepted,accepted,0.247097,0.573858,5127,15.193759,17.881983,1.866493,14.966315,17.864342,1.761575
0,-40,11,0.041140,0.000174,0.000007,accepted,accepted,0.166418,0.696608,4777,15.122581,17.932018,0.611989,15.284184,17.944578,0.601684
0,-39,1,0.003740,0.000174,0.000001,accepted,accepted,0.097004,0.701662,4777,15.193759,17.932018,0.634175,15.286297,17.939211,0.628275
0,-36,2,0.007480,0.000174,0.000001,accepted,accepted,0.111906,0.726126,4777,15.186641,17.932018,0.757407,15.294005,17.940363,0.750561
0,-34,5,0.018700,0.000174,0.000003,accepted,accepted,0.138364,0.742663,4777,15.165287,17.932018,0.839562,15.298978,17.942410,0.831037
0,-31,2,0.007480,0.000174,0.000001,accepted,accepted,0.125006,0.768184,4777,15.186641,17.932018,0.962793,15.307238,17.937294,0.954333
0,-29,1,0.003740,0.000174,0.000001,accepted,accepted,0.092660,0.407533,5127,15.193759,17.932018,1.044948,15.274068,17.938248,1.081994
